"","title","price","price_without_discount","options","free_delivery_description","user_rating","number_of_user_ratings","units_sold_description"
"72","Nokia G100 | Verizon, T-Mobile, AT&T | Android 12 | Unlocked Smartphone | 3-Day Battery | US Version | 4/128GB | 6.52-Inch Screen | 13MP Triple Camera | Polar Night","$99.99",NA,"2 sizes","FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","3.3 out of 5 stars","177 ","100+ bought in past month"
"73","Tracfone Samsung Galaxy A14 5G Locked 64GB 5000mAh Battery 50 MP triple-camera system 6.6-in. FHD+ LCD Display Black","$99.88","$119.99",NA,NA,"4.2 out of 5 stars","321 ","400+ bought in past month"
"74","Motorola Simple Mobile Moto g Stylus (2023) Locked 64GB 5000mAh Battery 50MP Quad Pixel Camera 6.5-in. 90Hz Display Blue","$129.00",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.1 out of 5 stars","26 ",NA
"75","Motorola Moto G Pure | 2021 | 2-Day battery | Unlocked | Made for US by Motorola | 3/32GB | 13MP Camera | Deep Indigo","$88.36","$99.99",NA,"FREE delivery Oct 9 - 10 Or fastest delivery Wed, Oct 9","4.1 out of 5 stars","2,099 ","300+ bought in past month"
"76","SAMSUNG,Galaxy A04e (SM-A042M/DS) Dual SIM 32GB,6.5'' GSM Unlocked,International Version-Black","$86.00","$105.00",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","3.8 out of 5 stars","727 ","500+ bought in past month"
"77","Alcatel 1 (16GB) 5.0"" Full View Display, Removable Battery, FM Radio, Dual SIM GSM Unlocked US & Global 4G LTE International Version 5033E (Bluish Black)","$40.99","$43.68","2 sizes","FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","3.6 out of 5 stars","2,064 ","1K+ bought in past month"
"78","Google Pixel 7 Pro - 5G Android Phone - Unlocked Smartphone with Telephoto/Wide Angle Lens, and 24-Hour Battery - 256GB - Obsidian","$459.00","$999.00","3 sizes","FREE delivery Sat, Oct 12 Or fastest delivery Thu, Oct 10","4.2 out of 5 stars","2,793 ","300+ bought in past month"
"79","Motorola Think Phone | 2023 | Unlocked | Made for US 8/256GB | 50MP Camera | Volcanic Gray, 6.6 inches","$514.99",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.4 out of 5 stars","623 ","200+ bought in past month"
"80","SAMSUNG A52 5G A526U 128GB Fully Unlocked Android Smartphone (Renewed)","$145.95",NA,NA,NA,"4.2 out of 5 stars","2,269 ","300+ bought in past month"
"81","Samsung Galaxy S22 Ultra Smartphone, Factory Unlocked Android Cell Phone, 512GB, 8K Camera & Video, Brightest Display, S Pen, Long Battery Life, Fast 4nm Processor, US Version, Green (Renewed)","$459.99",NA,"4 sizes",NA,"3.9 out of 5 stars","4,027 ","200+ bought in past month"
"82","Motorola Moto G Stylus 5G | 2021 | 2-Day Battery | Unlocked | Made for US 4/128GB | 48MP Camera | Cosmic Emerald","$299.99",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.3 out of 5 stars","3,192 ","50+ bought in past month"
"83","Samsung Galaxy Note 20 5G (128GB, 8GB) 6.7"" AMOLED+, Snapdragon 865, Global 5G VoLTE (Fully Unlocked for AT&T, Verizon, Sprint, Metro) N981U (Mystic Bronze) (Renewed)","$238.00","$598.98",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Fri, Oct 11","4.2 out of 5 stars","958 ","400+ bought in past month"
"84","Motorola Moto G24 Power Dual SIM | 2024 | 8+256GB | GSM Unlocked Smartphone | 6.56"" 90Hz IPS LCD Display | 50MP Camera | Li-Po 6000 mAh Battery | International Model | Case Included - (Glacier Blue)","$125.68","$133.00",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","3.8 out of 5 stars","66 ","100+ bought in past month"
"85","Samsung Galaxy A10e GSM Unlocked (not CDMA) 32GB Smartphone - Black (Renewed)","$70.00","$74.50",NA,NA,"3.8 out of 5 stars","1,200 ","50+ bought in past month"
"86","OnePlus Open, 16GB RAM+512GB, Dual-SIM, Emerald Dusk, US Factory Unlocked Android Smartphone, 4805 mAh Battery, 67W Fast Charging, Hasselblad Camera, 120Hz Fluid Display","$1,299.99","$1,699.99",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.1 out of 5 stars","236 ","100+ bought in past month"
"87","OUKITEL WP35 Rugged Smartphone 5G - 24GB+256GB/TF 2TB Android 14 Rugged Phone, 11000mAh Large Battery, 6.6"" FHD+ Corning Screen, Dual Sim Cell Phone, 64MP+32MP Camera, NFC/OTG/BT5.2/T-Mobile, Grey","$279.99","$329.99",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.3 out of 5 stars","96 ",NA
"88","Samsung Galaxy Note 20 Ultra 128GB Unlocked Android Smartphone - Mystic Black (Renewed)","$319.95",NA,NA,"FREE delivery Wed, Oct 9 Or fastest delivery Tomorrow, Oct 8","4.0 out of 5 stars","2,543 ","500+ bought in past month"
